JMBAG;Prezime;Ime;Termin;Zaključano
1635861593;Babić;Marko;2011-03-14 08:00 11:00 A209;2011-03-14 08:43:00
5570140748;Babić;Josip;2011-03-14 08:00 11:00 A209;2011-03-14 08:51:00
4605918302;Bagarić;Marija;2011-03-14 08:00 11:00 A209;2011-03-14 09:54:00
3947462279;Bagarić;Nikola;2011-03-14 08:00 11:00 A209;2011-03-14 08:22:00
7481838792;Perić;Martina;2011-03-14 11:00 14:00 A210;2011-03-14 11:58:00
3142030921;Babić;Filip;2011-03-14 08:00 11:00 A209;2011-03-14 08:57:00
5694678322;Marić;Ivana;2011-03-14 08:00 11:00 A209;2011-03-14 08:33:00
7319508803;Božić;Tomislav;2011-03-14 08:00 11:00 A209;2011-03-14 10:20:00
5051977475;Horvat;Tomislav;2011-03-14 08:00 11:00 A209;2011-03-14 08:24:00
4095381841;Babić;Nikola;2011-03-14 08:00 11:00 A209;2011-03-14 10:43:00
5661913268;Božić;Marko;2011-03-14 08:00 11:00 A209;2011-03-14 08:16:00
3640584693;Jurić;Luka;2011-03-14 08:00 11:00 A209;2011-03-14 08:21:00
4545567021;Bagarić;Luka;2011-03-14 11:00 14:00 A210;2011-03-14 11:18:00
6893546832;Matošić;Luka;2011-03-14 11:00 14:00 A210;2011-03-14 11:13:00
9875228052;Babić;Martina;2011-03-14 11:00 14:00 A210;2011-03-14 12:05:00
9583421327;Matošić;Tomislav;2011-03-14 11:00 14:00 A210;2011-03-14 11:53:00
7562781858;Bajac;Tomislav;2011-03-14 11:00 14:00 A210;2011-03-14 11:02:00
3830438913;Petrović;Martina;2011-03-14 08:00 11:00 A209;2011-03-14 08:12:00
9287641586;Jurić;Ana;2011-03-14 08:00 11:00 A209;2011-03-14 08:42:00
9339852744;Novak;Magdalena;2011-03-14 11:00 14:00 A210;2011-03-14 11:12:00
3775692339;Bagarić;Petra;2011-03-14 08:00 11:00 A209;2011-03-14 08:50:00
6055292148;Marić;Josip;2011-03-14 11:00 14:00 A210;2011-03-14 11:26:00
1959740483;Horvat;Ivan;2011-03-14 08:00 11:00 A209;2011-03-14 08:26:00
7665640075;Matošić;Tomislav;2011-03-14 11:00 14:00 A210;2011-03-14 13:32:00
6740144061;Kovačević;Petra;2011-03-14 11:00 14:00 A210;2011-03-14 11:02:00
3539134154;Kovačević;Marija;2011-03-14 08:00 11:00 A209;2011-03-14 09:59:00
8061411289;Bagarić;Josip;2011-03-14 11:00 14:00 A210;2011-03-14 12:40:00
6664445719;Bajac;Petra;2011-03-14 08:00 11:00 A209;2011-03-14 08:41:00
1904353692;Jurić;Ivan;2011-03-14 08:00 11:00 A209;2011-03-14 08:47:00
2085580409;Bagarić;Magdalena;2011-03-14 08:00 11:00 A209;2011-03-14 08:30:00
6698538966;Bagarić;Marija;2011-03-14 08:00 11:00 A209;2011-03-14 08:41:00
9710973083;Bagarić;Tomislav;2011-03-14 11:00 14:00 A210;2011-03-14 11:18:00
5793978412;Bagarić;Darko;2011-03-14 08:00 11:00 A209;2011-03-14 08:49:00
9387822863;Kovačević;Filip;2011-03-14 11:00 14:00 A210;2011-03-14 13:22:00
7118392834;Bajac;Ivana;2011-03-14 08:00 11:00 A209;2011-03-14 08:28:00
1650163155;Jurić;Luka;2011-03-14 11:00 14:00 A210;2011-03-14 11:55:00
3772181227;Matošić;Nikola;2011-03-14 08:00 11:00 A209;2011-03-14 09:56:00
5190214974;Matošić;Marija;2011-03-14 11:00 14:00 A210;2011-03-14 11:54:00
2227541891;Novak;Martina;2011-03-14 11:00 14:00 A210;2011-03-14 11:10:00
8973061269;Bagarić;Marko;2011-03-14 11:00 14:00 A210;2011-03-14 11:06:00
5888602421;Bajac;Filip;2011-03-14 11:00 14:00 A210;2011-03-14 11:18:00
6106724527;Novak;Petra;2011-03-14 11:00 14:00 A210;2011-03-14 11:50:00
9013068929;Jurić;Ivan;2011-03-14 11:00 14:00 A210;2011-03-14 13:39:00
6335720457;Babić;Ivan;2011-03-14 08:00 11:00 A209;2011-03-14 08:06:00
3408200038;Božić;Luka;2011-03-14 11:00 14:00 A210;2011-03-14 11:14:00
1432503786;Novak;Luka;2011-03-14 11:00 14:00 A210;2011-03-14 11:13:00
4530338977;Bagarić;Marko;2011-03-14 08:00 11:00 A209;2011-03-14 08:21:00
9943894253;Bajac;Nikola;2011-03-14 11:00 14:00 A210;2011-03-14 12:35:00
1969106134;Kovačević;Marko;2011-03-14 08:00 11:00 A209;2011-03-14 09:42:00
3743943603;Marić;Josip;2011-03-14 08:00 11:00 A209;2011-03-14 08:01:00
1270566779;Perić;Filip;2011-03-14 08:00 11:00 A209;2011-03-14 08:51:00
3037549584;Petrović;Tomislav;2011-03-14 08:00 11:00 A209;2011-03-14 08:08:00
3018016961;Petrović;Marija;2011-03-14 11:00 14:00 A210;2011-03-14 11:14:00
6231472647;Bagarić;Filip;2011-03-14 08:00 11:00 A209;2011-03-14 08:27:00
9725014875;Bagarić;Josip;2011-03-14 11:00 14:00 A210;2011-03-14 11:02:00
9849932702;Matošić;Marija;2011-03-14 08:00 11:00 A209;2011-03-14 08:16:00
1571648248;Babić;Tomislav;2011-03-14 11:00 14:00 A210;2011-03-14 11:47:00
7417228223;Babić;Martina;2011-03-14 08:00 11:00 A209;2011-03-14 10:24:00
4409066868;Perić;Josip;2011-03-14 08:00 11:00 A209;2011-03-14 08:55:00
4874215321;Matošić;Josip;2011-03-14 08:00 11:00 A209;2011-03-14 08:29:00
4434443770;Bajac;Darko;2011-03-14 08:00 11:00 A209;2011-03-14 08:47:00
2404284649;Perić;Marko;2011-03-14 08:00 11:00 A209;2011-03-14 10:03:00
6184782404;Novak;Ana;2011-03-14 08:00 11:00 A209;2011-03-14 08:22:00
3468362912;Matošić;Martina;2011-03-14 11:00 14:00 A210;2011-03-14 12:42:00
